timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733316495266,78145,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-117,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316495115,78294,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-87,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316495472,77937,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-159,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,2
1733316494866,78524,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-37,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,22
1733316494833,78576,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-24,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,54
1733316495232,78164,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-104,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316495728,77681,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-210,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,2
1733316495690,77719,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-202,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,2
1733316495640,77769,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-192,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316495589,77820,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-182,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316495257,78152,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-115,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,2
1733316494833,78562,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-11,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,55
1733316495692,77703,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-203,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,2
1733316495551,77825,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-161,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,5
1733316495366,78028,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-137,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,0
1733316495004,78389,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-65,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316495084,78309,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-81,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316495009,78386,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-66,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316495339,78051,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-132,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316495069,78307,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-77,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316495021,78371,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-64,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316494833,78559,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-10,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,61
1733316494986,78404,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-61,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316495157,78233,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-96,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316494833,78559,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-12,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,55
1733316495559,77829,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-175,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,2
1733316495387,78001,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-142,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316495062,78313,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-76,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,0
1733316495755,77633,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-215,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316495054,78334,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-74,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,0
1733316495028,78345,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-70,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,2
1733316495559,77827,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-167,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316495024,78362,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-69,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316495021,78365,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-68,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316495780,77604,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-220,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316494979,78394,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-59,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,2
1733316494836,78548,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-14,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,58
1733316495550,77830,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-166,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,6
1733316495277,78105,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-119,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,2
1733316494837,78545,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-28,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,50
1733316495231,78139,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-107,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316494915,78467,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-43,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316495385,77995,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-141,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316494951,78425,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-55,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,2
1733316495767,77613,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-217,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316495552,77827,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-169,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,5
1733316495108,78270,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-86,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,2
